0.00	166.18
1.00	166.18
2.00	166.18
3.00	4.68
4.00	58.51
5.00	30.43
6.00	0.00
7.00	4.68
8.00	21.06
9.00	60.85
10.00	21.06
11.00	53.83
12.00	72.56
13.00	74.90
14.00	53.83
15.00	25.75
16.00	72.56
17.00	11.70
18.00	119.37
19.00	30.43
20.00	105.32
21.00	105.32
22.00	77.24
23.00	198.95
24.00	121.71
25.00	74.90
26.00	198.95
27.00	229.37
28.00	205.97
29.00	191.92
30.00	196.60
31.00	201.29
32.00	175.54
33.00	215.33
34.00	222.35
35.00	208.31
36.00	184.90
37.00	154.48
38.00	273.84
39.00	175.54
40.00	203.63
41.00	264.48
42.00	236.39
43.00	327.68
44.00	212.99
45.00	262.14
46.00	250.44
47.00	236.39
48.00	287.89
49.00	222.35
50.00	238.73
51.00	306.61
52.00	290.23
53.00	308.95
54.00	229.37
55.00	212.99
56.00	217.67
57.00	177.88
58.00	259.80
59.00	320.65
60.00	290.23
61.00	135.75
62.00	147.45
63.00	196.60
64.00	257.46
65.00	238.73
66.00	194.26
67.00	255.12
68.00	224.69
69.00	168.52
70.00	187.24
71.00	304.27
72.00	264.48
73.00	205.97
74.00	191.92
75.00	241.08
76.00	168.52
77.00	203.63
78.00	220.01
79.00	229.37
80.00	245.76
81.00	215.33
82.00	124.05
83.00	215.33
84.00	208.31
85.00	276.18
86.00	163.84
87.00	159.16
88.00	236.39
89.00	252.78
90.00	229.37
91.00	257.46
92.00	283.20
93.00	156.82
94.00	196.60
95.00	234.05
96.00	243.42
97.00	313.63
98.00	170.86
99.00	241.08
100.00	175.54
101.00	220.01
102.00	124.05
103.00	170.86
104.00	283.20
105.00	252.78
106.00	290.23
107.00	205.97
108.00	217.67
109.00	257.46
110.00	159.16
111.00	191.92
112.00	215.33
113.00	227.03
114.00	187.24
115.00	184.90
116.00	241.08
117.00	245.76
118.00	257.46
119.00	222.35
120.00	191.92
121.00	243.42
122.00	271.50
123.00	238.73
124.00	301.93
125.00	194.26
126.00	210.65
127.00	131.07
