331.00	2218.83
332.00	2260.96
333.00	2270.32
334.00	2349.90
335.00	2455.22
336.00	2434.16
337.00	2480.97
338.00	2394.37
339.00	2389.69
340.00	2473.95
341.00	2565.23
342.00	2605.02
343.00	2436.50
344.00	2597.99
345.00	2560.55
346.00	2647.15
347.00	2658.85
348.00	2527.78
349.00	2560.55
350.00	2565.23
351.00	2616.72
352.00	2485.65
353.00	2548.84
354.00	2722.04
355.00	2562.89
356.00	2708.00
357.00	2544.16
358.00	2682.25
359.00	2738.43
360.00	2691.62
361.00	2820.35
362.00	2715.02
363.00	2757.15
364.00	2565.23
365.00	2656.51
366.00	2759.49
367.00	2885.88
368.00	2839.07
369.00	3009.93
370.00	2647.15
371.00	2815.66
372.00	2778.22
373.00	2787.58
374.00	2897.58
375.00	2876.52
376.00	2918.65
377.00	2913.97
378.00	2808.64
379.00	2963.12
380.00	3012.27
381.00	2935.03
382.00	2953.76
383.00	2878.86
384.00	3038.02
385.00	3087.17
386.00	3030.99
387.00	3243.98
388.00	3178.45
389.00	3150.36
390.00	3138.66
391.00	3227.60
392.00	3166.74
393.00	3302.50
394.00	3302.50
395.00	3368.03
396.00	3272.07
397.00	3466.33
398.00	3499.10
399.00	3318.88
400.00	3321.22
401.00	3311.86
402.00	3363.35
403.00	3403.14
404.00	3438.25
405.00	3555.27
406.00	3569.32
407.00	3524.85
408.00	3389.10
409.00	3269.73
410.00	3496.76
411.00	3501.44
412.00	3485.06
413.00	3424.20
414.00	3541.23
415.00	3578.68
416.00	3515.48
417.00	3581.02
418.00	3613.79
419.00	3557.61
420.00	3559.95
421.00	3684.00
422.00	3655.92
423.00	3487.40
424.00	3660.60
425.00	3571.66
426.00	3655.92
427.00	3817.41
428.00	3660.60
429.00	3639.53
430.00	3728.47
431.00	3716.77
432.00	3618.47
433.00	3660.60
434.00	3655.92
435.00	3817.41
436.00	3620.81
437.00	3901.67
438.00	3798.69
439.00	3698.05
440.00	3838.48
441.00	3955.51
442.00	3936.78
443.00	3941.46
444.00	3948.48
445.00	3927.42
446.00	3868.91
447.00	3861.88
448.00	3943.80
449.00	3889.97
450.00	3904.01
451.00	3927.42
452.00	4009.34
453.00	4058.49
454.00	3934.44
455.00	3974.23
456.00	4079.55
457.00	4248.07
458.00	4273.82
459.00	3894.65
460.00	3988.27
461.00	4067.85
462.00	4032.74
463.00	4112.32
464.00	4102.96
465.00	4210.62
466.00	4351.06
467.00	4210.62
468.00	4346.37
469.00	4238.71
470.00	4292.54
471.00	4236.37
472.00	4262.12
473.00	4257.43
474.00	4414.25
475.00	4461.06
476.00	4388.50
477.00	4432.97
478.00	4341.69
479.00	4489.15
480.00	4582.77
481.00	4531.28
482.00	4627.24
483.00	4692.77
484.00	4402.55
485.00	4767.67
486.00	4758.31
487.00	4573.41
488.00	4727.88
489.00	4681.07
490.00	4849.59
491.00	4521.92
492.00	4830.87
493.00	4828.53
494.00	4849.59
495.00	4784.06
496.00	4826.18
497.00	4849.59
498.00	4887.04
499.00	4765.33
500.00	4784.06
501.00	4980.66
502.00	4856.61
503.00	5029.81
504.00	4945.55
505.00	4997.04
506.00	4905.76
507.00	5032.15
508.00	5139.82
509.00	5029.81
510.00	5062.58
511.00	5078.96
512.00	5097.69
513.00	5214.71
514.00	5179.61
515.00	5156.20
516.00	5078.96
